,id,rooms,metro,area,floor,parking,price,renovation,room_area,balcony,windows,bathroom,allowed_children_pets,ceiling_height,city
8545,271700604,2,Красносельская,51.0,8,unknown,51500.0,Косметический,18.0,Лоджия (1),Во двор,Раздельный (1),Можно с детьми,2.8,Москва
8548,274879295,1,Комсомольская,45.0,2,unknown,58000.0,Дизайнерский,25.0,Лоджия (1),Во двор,unknown,unknown,3.0,Москва
8550,267934798,2,Комсомольская,55.0,6,unknown,60000.0,Евроремонт,15.0,Балкон (1),На улицу,Раздельный (1),unknown,3.4,Москва
8554,238447387,2,Красносельская,80.0,10,наземная,68000.0,Дизайнерский,13.0,Балкон (1),Во двор,Раздельный (1),Можно с детьми,3.0,Москва
8555,274638827,2,Красные ворота,70.0,3,unknown,70000.0,Евроремонт,16.5,Балкон (1),Во двор,Раздельный (1),Можно с детьми,3.0,Москва
8556,247031105,2,Комсомольская,63.0,3,наземная,70000.0,Косметический,17.5,Лоджия (1),На улицу и двор,Раздельный (1),Можно с детьми,2.8,Москва
8559,273533747,1,Сретенский бульвар,42.0,4,наземная,73000.0,Косметический,22.0,unknown,На улицу,Совмещенный (1),"Можно с детьми, Можно с животными",3.2,Москва
8561,269252611,2,Красные ворота,55.0,4,наземная,75000.0,Дизайнерский,16.5,unknown,Во двор,Совмещенный (1),Можно с детьми,3.0,Москва
8562,254435347,2,Красносельская,63.0,5,unknown,75000.0,Евроремонт,20.0,Балкон (1),На улицу,Раздельный (1),Можно с детьми,3.0,Москва
8563,271241650,2,Комсомольская,42.0,6,unknown,76000.0,Косметический,17.666666666666668,Лоджия (1),Во двор,Совмещенный (1),Можно с детьми,2.6,Москва
8564,263673284,3,Красносельская,65.0,5,наземная,77000.0,Евроремонт,15.333333333333334,Балкон (1),Во двор,Раздельный (1),"Можно с детьми, Можно с животными",3.2,Москва
8565,274343083,3,Сухаревская,75.0,1,unknown,85000.0,Косметический,17.666666666666668,unknown,Во двор,Раздельный (1),Можно с детьми,3.0,Москва
8567,272641616,1,Красносельская,60.0,9,наземная,85000.0,Евроремонт,17.666666666666668,unknown,Во двор,Совмещенный (1),unknown,3.0,Москва
8568,269688489,3,Красносельская,79.0,1,unknown,85000.0,Евроремонт,17.0,unknown,На улицу и двор,Совмещенный (1),Можно с детьми,3.0,Москва
8569,268828065,3,Красносельская,80.0,7,подземная,90000.0,Дизайнерский,20.333333333333332,"Балкон (1), Лоджия (1)",На улицу и двор,Совмещенный (1),Можно с детьми,3.0,Москва
8570,271890695,3,Сухаревская,65.0,10,наземная,90000.0,Косметический,16.0,unknown,На улицу,Совмещенный (1),Можно с детьми,2.5,Москва
8571,271350805,4,Каланчёвская,108.0,16,наземная,89500.0,Косметический,18.25,Балкон (1),На улицу и двор,Раздельный (1),"Можно с детьми, Можно с животными",2.7,Москва
8572,271351322,4,Каланчёвская,109.0,11,наземная,90400.0,Косметический,18.25,Балкон (1),На улицу и двор,Раздельный (1),"Можно с детьми, Можно с животными",2.7,Москва
8573,272940811,3,Красносельская,75.0,7,unknown,90000.0,Евроремонт,45.0,Лоджия (2),Во двор,Совмещенный (1),unknown,3.0,Москва
8574,274997787,2,Красносельская,90.0,4,подземная,95000.0,Косметический,17.666666666666668,Балкон (1),Во двор,"Совмещенный (1), Раздельный (1)","Можно с детьми, Можно с животными",3.0,Москва
8575,273475289,2,Красные ворота,49.0,17,подземная,95000.0,Евроремонт,17.0,unknown,На улицу и двор,Совмещенный (1),Можно с животными,3.2,Москва
8576,273102710,2,Комсомольская,49.0,8,unknown,95000.0,Дизайнерский,17.666666666666668,unknown,Во двор,Совмещенный (1),unknown,3.0,Москва
8577,273700097,3,Комсомольская,67.0,7,unknown,95000.0,Косметический,14.666666666666666,Балкон (1),Во двор,Раздельный (1),Можно с детьми,3.0,Москва
8578,273473561,3,Красносельская,80.0,5,unknown,100000.0,Косметический,17.666666666666668,unknown,Во двор,"Совмещенный (1), Раздельный (1)",Можно с детьми,2.6,Москва
8579,270225128,2,Сретенский бульвар,50.0,2,unknown,100000.0,Евроремонт,17.0,Балкон (1),Во двор,Раздельный (1),unknown,3.0,Москва
8580,212177722,2,Сретенский бульвар,65.0,2,unknown,100000.0,Дизайнерский,23.0,unknown,Во двор,Совмещенный (1),Можно с детьми,3.0,Москва
8581,273336589,4,Проспект Мира,125.0,7,наземная,100000.0,Евроремонт,12.857142857142858,Лоджия (2),Во двор,Совмещенный (2),Можно с детьми,3.0,Москва
8582,273337902,3,Проспект Мира,125.0,7,наземная,100000.0,Евроремонт,12.857142857142858,Лоджия (2),Во двор,Совмещенный (2),Можно с детьми,3.0,Москва
8583,274411055,3,Красные ворота,80.0,2,unknown,100000.0,Евроремонт,16.666666666666668,unknown,Во двор,unknown,"Можно с детьми, Можно с животными",3.2,Москва
8584,272579496,2,Проспект Мира,83.0,6,открытая,110000.0,Дизайнерский,23.0,Лоджия (1),Во двор,Совмещенный (1),unknown,3.0,Москва
8585,274067138,2,Красносельская,55.0,3,unknown,110000.0,Косметический,17.666666666666668,Балкон (1),На улицу и двор,Раздельный (1),unknown,3.0,Москва
8586,274809702,3,Проспект Мира,90.0,6,наземная,110000.0,Дизайнерский,20.0,unknown,На улицу,Совмещенный (1),Можно с детьми,3.0,Москва
8587,270503540,2,Проспект Мира,80.0,10,открытая,115000.0,Евроремонт,22.5,Балкон (1),На улицу,Совмещенный (1),unknown,2.7,Москва
8588,274801079,2,Сретенский бульвар,80.0,5,открытая,120000.0,Евроремонт,22.0,unknown,На улицу и двор,Совмещенный (2),Можно с животными,3.0,Москва
8589,273121734,3,Комсомольская,100.0,2,наземная,120000.0,Дизайнерский,80.0,unknown,На улицу,Совмещенный (1),"Можно с детьми, Можно с животными",3.0,Москва
8590,270845688,3,Проспект Мира,77.0,8,открытая,130000.0,Косметический,16.666666666666668,Балкон (2),Во двор,Раздельный (1),Можно с детьми,3.0,Москва
8591,264949125,2,Сухаревская,47.0,17,подземная,130000.0,Евроремонт,35.0,unknown,Во двор,Совмещенный (1),unknown,3.0,Москва
8592,273443873,3,Комсомольская,83.0,4,подземная,130000.0,Дизайнерский,17.666666666666668,Лоджия (1),Во двор,Раздельный (2),Можно с детьми,3.1,Москва
8593,272087760,2,Сухаревская,45.0,16,подземная,135000.0,Евроремонт,13.5,unknown,Во двор,Совмещенный (1),"Можно с детьми, Можно с животными",3.3,Москва
8594,274731315,2,Сухаревская,61.0,15,подземная,135000.0,Дизайнерский,14.0,unknown,На улицу,Совмещенный (1),"Можно с детьми, Можно с животными",3.0,Москва
8595,267853508,2,Сухаревская,60.0,3,unknown,135000.0,Косметический,21.0,Лоджия (1),На улицу,Совмещенный (1),Можно с детьми,2.8,Москва
8596,273858892,2,Сухаревская,62.0,3,подземная,135000.0,Дизайнерский,21.0,Лоджия (1),На улицу,Совмещенный (1),Можно с детьми,3.0,Москва
8597,274946024,3,Красносельская,105.0,5,unknown,140000.0,Евроремонт,17.666666666666668,unknown,На улицу и двор,Совмещенный (2),"Можно с детьми, Можно с животными",3.2,Москва
8598,274889346,3,Красносельская,101.0,5,наземная,140000.0,Косметический,17.666666666666668,Лоджия (1),Во двор,"Совмещенный (1), Раздельный (1)",Можно с детьми,3.0,Москва
8599,268865581,3,Сухаревская,70.0,7,подземная,145000.0,Косметический,16.333333333333332,unknown,Во двор,"Совмещенный (1), Раздельный (1)","Можно с детьми, Можно с животными",2.7,Москва
8600,271801224,3,Сухаревская,70.0,7,открытая,145000.0,Дизайнерский,16.333333333333332,Балкон (1),Во двор,Раздельный (2),"Можно с детьми, Можно с животными",3.0,Москва
8602,269797008,3,Сухаревская,89.0,4,наземная,170000.0,Евроремонт,20.0,unknown,На улицу и двор,"Совмещенный (1), Раздельный (1)",Можно с детьми,3.0,Москва
8604,269490461,3,Тургеневская,90.0,4,наземная,170000.0,Евроремонт,20.666666666666668,unknown,Во двор,"Совмещенный (1), Раздельный (1)",Можно с детьми,3.0,Москва
8605,227091052,3,Сухаревская,90.0,4,unknown,170000.0,Дизайнерский,17.666666666666668,unknown,На улицу и двор,"Совмещенный (1), Раздельный (1)","Можно с детьми, Можно с животными",3.0,Москва
8607,270847217,3,Сретенский бульвар,80.0,3,unknown,200000.0,Евроремонт,17.666666666666668,"Балкон (1), Лоджия (1)",На улицу,Совмещенный (1),Можно с детьми,3.2,Москва
8608,274077350,3,Сухаревская,89.0,3,подземная,200000.0,Косметический,19.0,unknown,Во двор,"Совмещенный (1), Раздельный (1)","Можно с детьми, Можно с животными",2.7,Москва
8609,274460046,3,Сретенский бульвар,108.0,3,unknown,200000.0,Евроремонт,17.666666666666668,Балкон (1),Во двор,Совмещенный (2),"Можно с детьми, Можно с животными",3.0,Москва
8612,270496619,3,Сухаревская,100.0,2,наземная,220000.0,Евроремонт,17.666666666666668,unknown,На улицу,Раздельный (2),unknown,3.0,Москва
8613,268958516,3,Тургеневская,90.0,5,открытая,220000.0,Дизайнерский,16.666666666666668,Балкон (1),На улицу и двор,Совмещенный (1),Можно с детьми,4.0,Москва
8614,269084469,3,Чистые пруды,90.0,5,открытая,220000.0,Дизайнерский,17.0,Балкон (1),Во двор,"Совмещенный (1), Раздельный (1)","Можно с детьми, Можно с животными",3.0,Москва
8616,274083649,3,Сретенский бульвар,90.0,5,unknown,220000.0,Дизайнерский,17.666666666666668,Балкон (1),На улицу и двор,Совмещенный (2),"Можно с детьми, Можно с животными",3.0,Москва
8617,269686100,3,Тургеневская,90.0,5,unknown,220000.0,Евроремонт,20.333333333333332,Балкон (1),На улицу,Раздельный (1),"Можно с детьми, Можно с животными",3.0,Москва
8618,269852008,3,Сретенский бульвар,100.0,2,unknown,220000.0,Дизайнерский,22.0,unknown,Во двор,Совмещенный (2),unknown,3.0,Москва
8619,269131974,3,Чистые пруды,90.0,5,открытая,220000.0,Дизайнерский,24.333333333333332,Балкон (1),Во двор,"Совмещенный (1), Раздельный (1)","Можно с детьми, Можно с животными",3.0,Москва
8621,272469973,3,Лубянка,90.0,5,unknown,220000.0,Евроремонт,23.333333333333332,unknown,Во двор,unknown,Можно с детьми,3.0,Москва
8622,270591826,3,Сухаревская,110.0,2,unknown,220000.0,Дизайнерский,17.666666666666668,unknown,На улицу и двор,Совмещенный (2),"Можно с детьми, Можно с животными",3.0,Москва
8623,273108236,3,Сухаревская,100.0,2,unknown,220000.0,Евроремонт,22.0,unknown,На улицу и двор,Совмещенный (2),Можно с детьми,3.0,Москва
8624,274044256,4,Чистые пруды,110.0,3,наземная,230000.0,Евроремонт,20.0,Балкон (1),Во двор,"Совмещенный (2), Раздельный (2)",unknown,3.0,Москва
8627,268789776,3,Лубянка,110.0,6,наземная,250000.0,Евроремонт,17.666666666666668,unknown,На улицу и двор,Совмещенный (2),Можно с детьми,3.2,Москва
8632,269648292,3,Сухаревская,110.0,2,наземная,270000.0,Дизайнерский,21.0,unknown,Во двор,Совмещенный (2),Можно с детьми,3.0,Москва
8634,271249110,2,Медведково,54.0,15,unknown,45000.0,Косметический,18.5,Балкон (1),Во двор,Раздельный (1),Можно с детьми,2.7,Москва
8635,268165241,2,Медведково,66.0,2,unknown,55000.0,Косметический,17.666666666666668,Лоджия (2),На улицу и двор,Раздельный (1),Можно с детьми,2.7,Москва
8636,273900614,2,Медведково,60.0,7,наземная,60000.0,Евроремонт,17.0,Балкон (2),Во двор,Раздельный (1),unknown,3.0,Москва
